,mz,rt,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,B_1,NIST_1,SP_1,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20,B_2,NIST_2,SP_2,S_21,S_22,S_23,S_24,S_25,S_26,S_27,S_28,S_29,S_30,B_3,NIST_3,SP_3,S_31,S_32,S_33,S_34,S_35,S_36,S_37,S_38,S_39,S_40,B_4,NIST_4,SP_4,S_41,S_42,S_43,S_44,S_45,S_46,S_47,S_48,S_49,S_50,B_5,NIST_5,SP_5,S_51,S_52,S_53,S_54,S_55,S_56,S_57,S_58,S_59,S_60,B_6,NIST_6,SP_6,S_61,S_62,S_63,S_64,S_65,S_66,S_67,S_68,S_69,S_70,B_7,NIST_7,SP_7,S_71,S_72,S_73,S_74,S_75,S_76,S_77,S_78,S_79,S_80,B_8,NIST_8,SP_8,S_81,S_82,S_83,S_84,S_85,S_86,S_87,S_89,S_90,B_9,NIST_9,SP_9,S_91,S_92,S_93,S_94,S_95,S_96,S_97,S_98,S_99,S_100,B_10,NIST_10,SP_10,S_101,S_102,S_103,S_104,S_105,S_106,S_107,S_108,S_109,S_110
335,160.1332219,0.772626273,948638.7831,1224707.943,3192195.937,1393331.592,3147208.171,2918194.448,1479831.945,1998392.576,1850586.195,1528823.822,,1187398.045,1774840.64,1452885.77,2510153.583,2615495.063,1248018.003,1398682.313,2042382.213,2812901.253,4290363.592,2316806.253,1991870.551,,1126191.778,1917873.199,1241477.649,1088659.628,2624979.992,1809247.727,3472875.796,1220680.112,3138446.236,3707275.33,2157365.793,812803.3732,,1325398.49,1747247.92,2011762.682,3278134.62,2692775.351,1482526.594,1812259.695,1573218.969,1382970.535,2168602.014,2147947.446,616849.0771,,1951032.328,2254601.051,2844794.816,1884203.404,2266902.678,1563295.9,2781191.686,2191406.032,1912209.146,1195741.172,2123828.295,3245263.246,,2046067.046,2079035.258,1145493.414,3171288.065,1590459.384,1172548.507,4346525.158,,4625720.622,,3524531.804,2386143.504,,1882111.485,2199445.332,2232506.426,4079425.198,1478564.416,923103.8097,2614652.68,2197613.728,2585087.803,,2289190.525,1112365.276,,1615948.053,2123171.242,3612612.014,1725202.66,4048835.963,2255684.562,1263124.269,2721077.852,4031377.59,1907038.281,2682296.28,2798297.706,,1572650.04,2180392.412,,,,385284.8663,,,,3484208.57,,19902.78797,,1886013.063,1013269.605,,4503374.084,,,,,,,1940047.478,,,,,,2059022.08,,,1029176.962,,,,506228.7551
343,265.1180673,5.642337377,1603924.453,858551.8457,1666979.362,1512344.683,,5113730.196,5078400.469,2137044.345,2212440.474,546583.6201,,1693937.412,1720706.437,987934.4878,700351.9534,958071.8317,2289507.53,2465585.812,671761.6614,1509087.722,,1418425.234,1315140.653,,1667442.392,1625136.7,,598280.6528,746443.1516,996468.126,1241236.356,976846.1229,6079463.387,,1714465.468,1288623.536,,1579202.993,1694909.046,1383942.001,4002834.2,758335.7353,1591618.121,7454611.441,2025453.858,1748364.68,1075255.774,325516.7531,4645606.658,,,1659589.429,689568.5246,1281452.876,859357.4628,1072771.718,6774336.556,935632.7507,2562948.765,,1334160.728,1178896.92,,1674129.306,1627743.209,2020486.763,1391683.942,1319474.968,1100167.321,,857782.7715,2140828.455,2558521.903,1157778.3,1948405.629,,1660200.536,1663914.709,874501.8899,831485.1549,1483818.52,439534.1773,639877.7275,3485305.87,612865.4875,730550.7354,1573721.555,1548532.702,,1644626.515,1596243.992,3627534.713,475660.2717,1577940.548,2761834.855,,1634801.446,641137.3326,1737906.05,2249973.905,1238977.058,,1598272.194,1584759.838,,2376592.002,1050885.531,,617708.0248,905876.3768,954024.1528,726471.7308,1101211.308,,1279754.101,1256774.143,1156774.234,722185.4241,1701497.407,653510.529,859575.1487,1491172.84,2408838.961,1120244.924,3557611.506,1197668.94,,1328850.924,1089858.52,2336395.596,2735144.557,1197999.945,391001.5119,270578.7722,1327427.319,574366.5931,2468832.604,702248.9784,1188649.204
345,218.9480768,0.50224777,1588962.773,1897363.149,1663058.389,1532072.635,1630446.198,1828955.452,1757719.243,1882416.798,1564533.115,1647470.552,,9428.079427,1708158.391,1543667.267,1837481.772,1680436.018,1587953.034,1804577.657,1800271.307,1724345.194,1625957.504,1484557.137,1612000.642,139429.3775,15453.96495,1584261.321,1446936.363,1474416.157,1673372.639,1625580.653,1685053.632,1648049.329,1365429.707,2233906.5,1699961.669,1609137.058,,,1640436.84,1750393.192,1893737.8,1719145.42,1513407.606,1637637.013,1553703.29,1444211.652,1523545.726,1559175.693,1768386.528,,12366.22507,1582713.738,1326962.566,1492125.643,1617065.774,1683880.963,1648667.183,1607299.061,1793152.94,1736207.428,1508313.014,1682626.985,,12372.19909,1534545.151,1404376.198,1687511.833,1425226.317,1464776.327,1485619.586,1491042.906,1496247.053,1343588.189,1477658.097,1576096.373,,9769.79844,1654647.028,1655967.287,1688504.706,1619478.298,1497641.127,1578612.203,1424417.629,1882979.402,1436610.213,1542164.991,1754954.503,,10587.02971,1559669.87,1626759.375,1670556.489,1750252.033,1889623.481,1531149.12,1707750.009,1638473.025,1504822.407,1689625.723,1505319.148,,12438.10287,1476777.166,1437547.518,1446597.591,1262210.828,1289429.584,1385849.873,1326948.886,1671913.598,1337107.671,1505967.322,,11947.34097,1475771.331,1450936.265,1365408.682,1680894.694,1352530.286,1420744.539,1430572.647,1455583.006,1390710.07,1309133.69,1575759.122,,,1360018.974,1637987.752,1405918.386,1815157.47,1232909.473,1375482.015,1445527.265,1234749.039,1187415.064,1404959.614,1662567.131
354,230.9661184,0.502320868,1489225.917,1735156.25,1505552.709,1405798.861,1474954.922,1708635.193,1579735.84,1643552.533,1367957.9,1468331.715,,9312.775448,1634817.932,1386842.088,1602707.061,1581989.593,1460726.239,1629268.458,1586356.699,1573774.509,1466785.02,1456292.106,1499947.157,99879.88555,12966.86008,1503886.729,1282515.822,1361211.865,1551392.596,1448398.86,1529863.565,1528914.511,1268266.296,1926644.88,1557267.225,1433230.886,,7376.486327,1470021.852,1600029.297,1647571.191,1553435.213,1338668.951,1439674.823,1460339.647,1326993.852,1428248.892,1518714.495,1653766.312,,11508.32251,1555125.919,1326381.067,1418906.801,1649283.408,1721289.128,1649743.428,1613206.456,1867050.112,1763776.312,1458148.935,1598646.041,,9645.703009,1530211.463,1384209.671,1727852.394,1474856.835,1483109.795,1544793.421,1483086.073,1628941.45,1360580.097,1442738.147,1501997.625,,9979.772566,1685409.427,1605214.346,1769698.685,1641775.487,1463998.777,1646004.659,1406056.949,1871695.683,1401196.282,1563556.49,1631225.092,,,1583450.211,1593209.269,1567118.291,1742569.275,1889054.659,1548554.748,1660203.526,1721619.433,1559302.323,1682678.999,1614697.583,,,1534376.367,1495373.823,1472029.69,1297492.681,1313139.235,1409908.114,1386903.917,1733389.981,1318316.491,1467487.648,,10583.1397,1509580.067,1444187.61,1368312.485,1658608.224,1382472.109,1384943.424,1474274.994,1464376.463,1446653.355,1409065.207,1584361.812,,14357.13457,1462991.108,1549770.935,1425722.755,1896512.391,1247382.309,1437268.288,1535757.144,1333612.325,1161030.937,1311892.642,1721738.51
355,130.0863519,0.743866829,4971509.576,4225608.177,484851.3249,1497480.066,540001.6235,980264.7185,258625.702,495868.786,481185.0105,700583.4689,469812.0047,850533.5609,1621504.776,1625268.649,1178135.386,676512.8074,2085207.985,3398498.476,660342.1579,863768.4429,606398.7399,196738.03,664248.2677,,1222794.95,2145226.455,2812709.566,236474.3659,1203514.819,335894.2823,418562.2285,3473788.43,175069.9214,454310.4942,4364593.806,801990.8655,535185.8421,1072891.473,2126583.559,426114.9153,1126038.17,416733.0505,2686565.062,787349.7568,1734142.996,930588.0704,290987.4124,2235717.796,5438729.623,321385.4551,2382039.772,1699172.124,578857.2109,1069343.04,1718388.161,745753.7775,706020.1575,462591.1297,344666.9322,5271098.405,538018.3911,1182133.706,555195.1698,2495424.346,2400212.503,9417446.972,779855.6333,1038371.001,1643530.371,736618.5702,469665.4703,508366.1506,3603679.204,987777.8506,957450.3,,2496239.616,2645875.029,625296.824,298660.5807,1188434.916,10544619.94,1746374.872,1065619.61,652564.6783,298697.9895,483497.9121,1551143.896,,1038877.594,2143823.91,474267.6376,816852.6399,604179.7411,2077073.62,2762730.434,705655.6347,719650.2119,2697159.149,920925.5382,929818.1818,434989.6525,1071306.515,2267406.964,1026477.553,122406.3779,,5066099.092,,,,,,455740.8923,,1868078.305,,,,,,,,,,,,,1673655.711,88575.00702,,,,,,,,,
356,794.566472,18.44663935,1780943.225,1402746.043,2901039.539,1578578.855,1850027.42,2627580.417,2166776.864,2353304.78,2242488.073,1709576.497,,1553052.591,1617403.858,1999435.216,911695.5075,2287105.277,1599169.833,2138394.981,2386309.023,1682654.111,1941247.665,1737153.109,1642850.349,,1264538.346,1691284.784,1342113.173,2442254.042,1726848.476,2099705.486,2050044.15,1459395.062,1559210.321,1815709.435,1311259.434,1771274.16,,1267620.03,1612650.36,1400663.824,2120663.84,1951814.189,2079891.648,2062824.897,1180481.52,2308044.065,1896541.483,2942578.284,2274270.494,,1555885.439,1963085.371,1199795.22,2578741.045,3053306.915,1911579.097,2410962.101,1567584.265,2694516.71,2341737.55,2890401.568,2456940.621,,1358148.17,1902333.965,2068779.455,2459124.768,1090229.264,2219778.126,1630811.276,1904721.99,1855926.724,1778896.459,2780051.364,2110510.234,,1403226.005,2042019.755,1423453.276,2439662.498,3310479.977,1639025.965,2052288.576,2877562.019,1942726.444,2803204.965,2120099.345,2937818.439,,1252141.847,2179720.612,1837548.643,1610480.105,2639987.661,1664494.295,2258572.329,3406375.06,2081194.139,1745443.644,3214594.865,1876526.535,,1510248.891,2398125.662,1359148.934,1749193.667,1562897.895,783129.0939,1691908.186,2153642.989,1631585.373,1634173.431,1364917.128,,1117560.588,1965385.955,1370130.252,1273938.872,1850497.199,1377494.511,1032716.579,780677.3129,1387457.562,1992857.982,800591.656,1503564.605,,1011131.759,1102164.847,1586565.741,1796072.519,2410877.611,649843.1868,889676.2816,1844902.519,1276467.143,413744.481,468418.0177,1051984.684
357,109.1012689,8.283886336,1754394.484,2037768.071,1276999.626,1205042.613,1439324.569,2145800.757,1832270.384,1291263.063,1196963.894,1732695.4,4586381.684,380595.626,1616608.928,1426822.255,1412128.586,1215679.659,1086462.227,2035138.102,2085307.905,2047461.961,1075411.829,1677055.357,1989870.516,4451698.508,414313.4455,1573485.724,1311002.614,1496252.285,1288324.131,1218717.482,2230486.178,1573345.246,1831350.748,1468884.828,1672400.998,1283215.373,3182756.137,410491.238,1594436.596,1290697.546,1213244.744,1181123.661,1617818.767,1788377.591,1289259.594,2093952.125,2111020.094,1252820.716,1222103.282,3344474.637,480998.4043,1570900.717,1478594.7,1557327.341,1661477.286,1764463.743,1115423.083,1996690.608,1161455.978,2078320.117,1493888.141,1362039.059,4246994.333,501256.7719,1558769.026,1378570.633,1232573.442,1347660.73,1491708.369,1946142.76,1719913.454,1647931.34,1249943.055,1051726.348,1066053.083,773282.3575,406233.0468,1596007.409,1335753.066,2035645.05,1120563.165,1747352.072,1193952.151,2035414.083,1482464.909,932568.3516,931138.2093,952075.7471,3012657.523,385448.697,1492534.637,1873135.423,1515835.888,1057566.77,1451857.913,2214323.943,1250427.928,2397887.674,1301824.214,1380735.731,2076707.531,4703064.006,288172.108,1499266.787,813672.9545,1085738.325,1119308.514,1118874.651,1695026.159,995514.1054,1686627.309,1328240.581,1049056.674,3451645.623,341399.9748,1167613.54,1725065.52,1181515.279,1583260.706,1339299.334,915490.8797,873085.3888,935901.098,1132871.02,782202.68,1276416.824,4845571.993,499751.8862,1117614.925,973923.3929,1024440.467,1316658.157,1029795.058,1166204.146,1001439.122,1232178.821,854210.8209,912723.3428,1815421.051
358,292.9587396,1.289788268,1742018.999,1986818.806,2650151.045,1523369.356,2383834.553,1776819.143,2311659.79,1566843.779,1421085.035,1443820.362,124338.8948,24837.36577,1609184.507,1211612.857,1291306.239,1441599.186,1710469.102,1196497.068,1192576.654,1353023.971,506416.136,1145314.359,351551.8374,,136967.4196,1088251.524,1381057.457,943093.1925,1042189.591,1612749.186,1339748.471,1007714.179,818137.3706,1306057.656,1258116.655,1275117.977,58506.40579,128871.3286,1314339.693,1238847.528,1403373.193,1236445.236,812344.3985,1258958.003,1404577.043,1059540.591,1040919.989,1087871.036,1338708.212,34857.21531,121952.6753,892017.7157,814306.6475,746526.1203,761888.8846,1033535.44,1077384.072,1069409.037,1157802.791,880726.3488,537869.3517,443283.1088,27619.56766,125148.0196,820554.9798,1016067.437,753272.3473,717266.8989,993467.4982,927148.0501,645479.5057,978934.156,829264.2361,742602.3844,747935.6025,31870.84929,100400.5788,1012387.458,993893.9281,715077.3544,1008876.352,327045.0848,763819.8648,658760.3323,866008.8759,665933.2409,350067.3933,668319.3825,24930.81388,107585.1473,690187.792,1007299.079,669243.3611,961387.8775,678444.6476,607309.5659,769101.9485,924721.579,754175.971,1102383.332,647906.4646,46788.37898,84621.21903,642502.9924,901464.0271,763110.2285,505418.6456,603963.5017,745062.9263,636152.2483,842120.0487,546465.7233,927955.3398,,76813.63083,837843.3365,698781.679,584314.1167,786980.5888,836942.4162,792343.6543,612398.1517,561172.5398,564098.0749,538138.9439,372339.6401,13149.48377,62227.45772,587980.048,768081.1509,799950.6894,874624.7676,480159.0576,705843.1541,645056.2948,694954.8474,666854.9158,510539.1994,671665.4371
363,561.4124597,16.52316413,2502187.001,1606117.574,298339.0875,2362253.043,2198137.114,995468.8915,1399407.745,1130428.028,1746778.069,1483722.15,151896.3856,1484646.854,1587452.124,3446254.113,1511200.948,1603553.807,2533739.307,1281008.898,1685950.901,3792889.154,1990654.923,2426766.044,2004443.461,151239.3218,1788098.632,1813622.02,2135782.046,2535582.086,2248198.502,2267568.156,1529996.794,1435726.51,1793578.499,619361.5823,1540722.892,4335660.594,275950.8371,1397120.175,2327567.913,1264348.679,1005288.6,2813690.493,2012775.248,1357406.992,2107010.403,2748914.023,2554265.846,1603539.611,2176063.952,144351.1507,1554352.271,2129642.519,2895307.646,2220899.704,2451815.357,1758534.432,1934981.357,2001958.186,2085791.799,948781.3355,1966454.903,1200134.913,34086.61076,1357488.972,1611580.324,1628937.524,2579713.714,1961909.5,2508248.332,2749513.974,3417004.884,2125669.794,4567537.06,1068277.075,1358192.092,123685.9706,1391576.98,1788392.065,2161960.171,2237922.608,2595609.298,2643009.724,1964473.628,2322053.907,1269169.414,2849077.888,4620370.639,1634108.09,174570.7103,1652308.177,2024043.362,3205665.034,1726259.814,1911226.772,773571.2033,1510895.609,586899.719,2318253.129,2575500.81,2200666.898,2523410.237,127291.346,1521190.111,1933433.935,1186224.176,2289575.231,3098486.984,2216237.754,2874424.275,2838768.319,1087616.036,1730028.652,2256947.481,,1639232.943,1400669.869,3853959.041,2421543.254,1556078.517,1514987.387,2912199.93,1371902.359,1943345.672,3232730.092,1918699.336,2450648.129,72268.04855,1740943.719,2336561.455,1691203.71,5437957.238,1651258.163,2947563.883,2063938.701,1891403.88,2978090.162,3703246.255,1030023.573,1528810.966
367,242.9253008,0.571166285,1589156.693,1612679.869,1534559.932,1571287.91,1546979.511,1590542.043,1535107.733,1477762.949,1546048.69,1616492.154,,2287921.546,1564370.409,1216099.803,1601114.969,1602219.646,1496623.866,1401592.223,1594834.935,1711270.58,1385937.26,1503611.833,1580223.417,523720.3414,2824334.666,1598264.779,1455410.179,1371187.48,1353051.293,1572057.55,1858280.044,2050893.005,1388452.743,1835620.442,1603890.92,1333952.477,325363.1066,2771938.018,1553306.757,1604025.797,1842201.991,1612818.056,1598896.657,1645594.638,1557961.756,1496096.897,1235778.096,1616914.692,1272296.416,1126230.959,2894786.628,1497018.826,1584343.845,1679002.561,1321057.7,1342440.157,1544274.443,1387404.281,1458862.314,1661451.434,1482862.948,1582626.663,117559.9465,2891708.53,1563489.434,1344622.008,1382004.354,1478641.753,1381033.709,1240643.634,1351709.956,1685115.923,976374.8762,1496137.891,1562356.548,,2718033.075,1583227.053,1431544.162,1762776.331,1595203.632,1655093.304,1466240.267,1440220.464,1378469.99,1310431.722,1378497.516,1580144.47,427329.3902,2599672.292,1447553.106,1426332.88,1456023.956,1478653.827,1201203.052,1467755.376,1748932.665,1679778.28,1433624.58,1730567.598,1274499.654,,2449919.301,1441038.427,1316374.874,1168817.784,1224843.537,1357533.07,1399731.662,1437285.956,1451774.17,1607634.262,1827633.755,266582.8208,2157433.245,1535551.965,1397645.245,1358880.713,1415214.507,1329944.478,1295626.848,1604653.117,1343643.534,1477073.353,1103280.525,1508645.27,,2361365.059,1296282.074,1507868.392,1510944.679,1451670.067,1187225.079,1649214.73,1402686.693,1281637.453,1163906.516,1378939.327,1569704.93
368,809.5857298,18.79530593,1261783.49,1161087.679,1661275.48,1673448.482,1607206.01,2032057.719,1562014.76,1561442.069,1479498.841,1491377.902,,1481475.175,1547279.782,1448346.913,835916.3124,1592933.75,1342063.519,1619697.591,1601967.885,1797019.353,1552812.468,1536839.098,1468329.744,,1604530.612,1595232.808,1523137.58,1772566.144,1597406.022,1720560.862,1723599.045,1382946.069,1523708.49,1844892.214,931004.1182,1498059.482,,1513240.396,1540119.246,876522.8974,1929492.993,1454076.517,1558585.937,1803913.943,1035757.066,1661924.954,1562547.051,1887693.759,1587382.939,59946.31524,1710459.516,1601411.779,1327824.261,1792326.039,1671967.897,1725453.204,1631725.542,1695818.682,1894953.084,1799173.315,1702365,1873411.178,,1691097.18,1629041.292,1652731.042,1699601.856,1486315.638,1573211.716,1452439.002,1291482.924,1471461.645,1355975.203,1660769.635,1645094.442,,1714922.234,1701663.952,1651867.155,1684818.769,2133233.086,1540748.372,1661069.593,1689398.24,1760419.587,1575785.06,1480473.401,1650400.091,72462.98853,1704102.115,1727100.798,1498599.847,1531563.006,1703881.066,1771315.525,1693788.58,1986217.807,1753434.493,1675616.088,2002026.388,1709263.159,54397.88002,1548136.95,1706474.102,1341584.141,1291640.151,1010786.286,1392059.468,1374690.095,1444730.853,1340853.199,1345589.001,1429636.021,,1296592.439,1538857.171,1083294.944,1330283.198,1393736.144,1493385.814,1233352.263,1136201.997,1067822.538,1289882.886,994227.5825,1610201.207,,1172769.966,1274829.347,1317137.476,1361777.534,1767435.367,857722.4727,1394758.702,1659996.304,1190032.151,451599.1268,605252.8002,1695639.446
372,158.0165407,1.207579914,1454485.689,1545286.748,1775448.097,1404199.869,1524243.802,1428282.147,1556424.895,1496083.572,1440435.36,1634987.972,179696.278,,1527556.703,1249688.258,1603144.449,1493130.433,1465589.896,1531286.699,1633882.541,1768871.2,1468846.479,1451120.682,1370839.995,215375.271,24037.4176,1512790.554,1459528.891,1422030.617,1330068.468,1643624.282,1566613.998,1484032.562,1277865.962,1767224.706,1457103.654,1442198.756,189047.9091,,1548308.99,1348445.322,1620193.834,1470823.973,1312457.49,1626110.361,1582347.26,1687045.46,1387275.85,1437066.991,1422921.238,131295.5429,98541.08031,1490231.644,1445466.671,1594279.898,1516453.819,1390534.997,1558823.432,1399599.634,1580799.269,1494701.076,1418484.925,1636855.806,140866.3509,,1398664.389,1471457.886,1299953.689,1329845.033,1538305.112,1275314.96,1331490.162,1440335.773,1280803.648,1423719.859,1419403.394,132797.6557,,1566935.012,1507323.271,1651944.522,1610784.514,1405413.497,1549675.798,1339939.524,1623731.74,1285407.413,1284039.261,1420727.835,248413.6646,13319.42816,1419436.79,1407928.244,1472750.877,1525652.526,1530789.146,1478836.387,1652855.027,1580480.935,1396037.405,1705006.538,1346416.249,201725.4519,,1320333.239,1488564.796,1417712.616,1187506.307,1360064.506,1245596.782,1363187.111,1392570.495,1283673.197,1548377.733,335474.2616,14271.93221,1537661.781,1324050.482,1382521.412,1481614.669,1458645.831,1241822.618,1505219.933,1333779.759,1324991.593,1135257.804,1538228.285,171144.1596,,1381665.99,1412841.08,1350147.065,1547021.599,1231238.369,1487551.69,1477711.867,1270576.891,1167480.28,1408743.521,1462956.189
374,320.2661782,16.88186145,320437.002,118067.0235,422149.64,230068.375,,120579.6384,301464.3437,289695.2412,411219.1569,289900.812,,627459.1554,1521010.102,426203.053,174496.6504,322172.5468,142485.6332,366700.5182,279080.2378,256791.7856,261404.4413,532895.6173,248120.2757,,781247.4836,1169094.892,306561.4898,276803.8586,545700.1762,148522.1945,244609.0004,377221.2372,298222.6653,451307.4463,205243.5289,376474.0506,,1294045.887,979841.7083,1275013.902,329791.995,316560.8745,289263.6824,378234.7411,322961.4965,237891.9374,392513.2742,238972.8578,503338.511,,577209.086,1388910.712,393448.769,169437.492,205359.8538,235712.2685,,281077.8961,150201.811,344932.8919,204937.8034,152778.0593,,540350.7177,1933660.871,634007.6153,134793.9602,193408.0182,,345223.9004,542595.576,250551.4564,426084.2409,479613.4936,275414.8684,,1249648.79,830379.5194,267761.1348,,205886.2861,,379643.6431,180437.5624,574216.5219,344611.451,263728.0377,337003.2393,,883941.996,944507.6704,176439.3897,299043.9299,433321.1791,244222.5069,322806.5983,399481.8659,180009.3274,555170.6013,290389.6758,242802.5482,,838464.5926,1644461.343,412362.097,307927.2496,389615.8421,195826.6048,207614.2652,269965.979,248225.5546,482944.6325,389973.7367,,2219664.901,1101665.258,626725.5315,315077.5642,423067.7159,242031.4778,303828.1225,563152.023,563643.6177,378911.2482,424587.2163,327638.0712,,2999230.32,2159735.16,216468.2386,276393.3213,262086.0605,1198302.815,564540.7258,163844.6117,1122479.625,2402698.864,5104901.413,1511300.803
376,131.0491978,3.322524313,1351227.867,1657669.717,1524641.261,1465411.167,1786449.258,1610136.16,1569624.564,1535469.787,1356719.272,1836229.962,,1824382.998,1516576.618,1198349.279,1636413.746,1557544.478,1263383.468,1330743.399,1681162.472,1630591.894,1599429.242,1563603.28,1590394.916,,1779680.932,,1416970.795,1125831.306,1278988.862,1457677.594,1665984.019,1499847.848,1300556.93,1747575.692,1577801.648,1275213.616,,1758802.117,1491966.009,1364833.394,1763915.329,1456113.024,1420700.511,1456648.829,1644269.129,,1427701.854,1446211.9,1683100.886,,1797448.49,1474312.968,1608424.693,1750497.411,1509163.936,1506974.711,1442760.004,1556652.861,1394676.82,1725650.937,1547658.2,1970162.554,,1888825.847,1519468.234,1518330.378,1493183.989,1588776.07,1463211.068,1562104.188,1386624.803,1626417.062,1405429.3,1521266.422,1555093.215,,1723110.065,1555615.907,1495256.899,1499148.344,1346230.272,1504646.323,1507880.153,1305252.959,1507852.165,1297110.628,1460894.459,1549064.921,,1708803.068,1417552.292,1527377.059,1555657.871,1661185.272,1926603.395,1307272.998,1554447.618,1455769.15,1537969.498,1463004.533,1477406.781,,1763363.356,,1428003.021,2195785.445,1444114.059,1444871.029,1421603.546,1477306.783,1525343.881,1480684.318,1577004.21,,1411867.232,1589403.733,1053230.062,1834412.306,1618150.517,1491795.566,1540209.863,1238027.955,1067852.385,1651043.134,1556582.515,1933321.213,,1357790.373,1453957.327,1497311.37,1385830.963,1454264.148,1206562.438,1624841.48,1467700.06,1242132.997,1153496.026,1405511.964,1067068.503
378,339.2291789,16.6165316,391732.241,,1601647.639,,367760.2873,,334155.9869,385216.6372,694754.2889,1516741.697,,857735.5472,1515590.479,579211.806,449468.0169,429090.8696,,751058.9011,,390430.9712,178296.9652,1335473.334,813641.2852,,1164342.081,1489933.401,421762.7748,559008.1161,526415.9844,,439647.0057,591864.7887,508562.9821,1158964.146,409630.5892,403030.8955,,1201367.015,1303447.1,441514.3753,475289.2515,383612.7847,404126.8651,,399371.7602,368681.9938,672670.7851,,550543.5704,,960604.7592,1511709.67,838183.9584,205368.8159,451500.1976,,,1124058.958,166378.3504,531203.8062,162673.0874,660455.9511,,1070137.6,1837492.862,711193.2199,164740.9951,548825.4774,348266.1199,624187.8282,781190.0806,264360.9035,272311.5416,975230.3352,558563.3865,,1486579.429,1268474.509,,245521.0396,,673304.1854,321032.2711,298944.4012,680506.4709,1149619.804,327528.3314,627585.3727,,1646141.953,1357326.856,445837.3759,,589953.6719,,533376.9032,572161.4678,225144.1402,447805.7574,,218015.1711,,1288569.694,1900479.25,,,2470511.292,,225295.2741,258830.3043,420076.2158,,471039.7811,,1262495.811,1588657.849,432213.451,299313.1006,775725.124,426094.0807,245242.9773,,643907.7777,270740.3787,339523.4782,,,1464654.467,,471773.2158,,,1067102.426,626881.7686,95417.25702,517694.1357,2155299.564,4200282.878,1678933.921
382,220.9810373,0.502475365,1259844.675,1578637.133,1255172.756,1348875.208,1341006.543,1885351.89,1698945.184,1624248.708,1247203.009,1426127.843,,11324.07174,1494333.236,1400468.872,1648211.928,1271623.787,1344710.551,1787730.395,1631251.823,1465575.091,1601011.013,1163658.316,1604735.449,,,1352367.452,1467127.005,1383192.237,1462494.468,1281903.675,1391374.573,1454382.771,1243417.534,2054690.223,1528700.806,1285617.58,,,1357245.756,1634690.88,1694003.032,1688933.05,1336767.834,1566664.237,1277089.154,1551970.154,1472768.613,1270009.369,1698830.195,,9734.748521,1380060.061,1057096.651,1193905.446,1335012.038,1759173.815,1451696.66,1411569.979,1618731.481,1492817.159,1215847.399,1531850.921,,13898.37254,1378384.202,1028292.313,1593005.7,1184038.73,1290094.731,1303640.718,1548975.619,1353506.121,1318902.507,1244368.448,1358097.161,,,1423902.713,1514243.634,1492911.755,1341388.52,1223767.828,1454876.744,1242487.556,2234118.035,1362187.833,1240492.344,1619198.096,,10578.43405,1345041.921,1627583.652,1325642.919,1496112.5,1388313.859,1545297.482,1377230.701,1529524.329,1369567.167,1404253.543,1583991.008,,10269.23062,1296849.051,1318222.759,1248032.351,1124933.159,1133316.987,1183283.92,1187684.305,1363995.168,1102461.027,1085901.78,,14544.88746,1299221.235,1195119.61,1104603.864,1582030.451,1013156.981,1201354.634,1193162.323,1122777.249,1180624.023,1111608.841,1280461.62,,13657.1734,1171850.577,1323906.322,1149620.315,1410325.873,972871.7723,1158088.924,1314052.101,909747.7106,802404.3075,1101560.823,1420224.203
383,253.066357,1.120938057,1613655.142,1355320.922,2279124.013,1384076.817,1300943.054,1544753.373,1567150.072,1399810.126,1543935.345,1829094.421,,,1492865.591,1283519.522,2058906.356,1669306.835,1453742.69,1631718.044,,1377545.222,,1490952.784,1716216.081,,,1496258.334,1354457.05,1244432.963,1867443.27,1246970.018,1721922.154,1924708.985,1943445.522,1980494.114,2194747.375,1799999.731,,,1623062.32,1608851.431,1777205.26,1462401.319,1644967.197,1881594.365,1703187.222,,1353641.256,1504209.615,1962066.871,,,1688522.922,1525796.666,1616370.391,1776493.841,2035715.243,2048285.159,1697859.776,1678247.838,2043746.631,1691273.725,1764011.071,,,1791755.024,1534985.105,1803400.643,1659069.571,2104256.638,1933696.009,,1652293.6,,1694288.768,1878494.216,,,1698373.825,1951373.671,1995910.312,1677643.138,1667835.495,1482227.351,1930815.932,1636904.672,,1751194.471,1753028.162,,,1809124.104,2443613.146,,2180279.228,,1529626.627,1717984.428,1776456.004,1709849.394,1467992.192,1692858.121,,,1850428.501,4322646.907,3565511.647,3769831.875,2227113.248,1838393.845,2190529.635,3523755.149,2174388.885,3680039.589,,,2364621.634,2587962.199,4188128.211,3988317.428,3789996.42,3322265.937,2935584.728,2734183.338,3179685.47,3743406.778,2225304.194,,3091.801416,3623370.254,5084974.507,3441628.535,1815586.429,1231076.96,3440782.855,1656394.861,1856556.749,3073315.148,1999020.376,1921957.058
